9785509313523,Queen of Swords (TV series),Lambert M. Surhone
9785509156991,List of first-order theories,Ronald Cohn
9785508282608,1967 Oak Lawn tornado outbreak,Mariam T. Tennoe
9785508575830,2012 ICC World Cricket League Division Five,Ronald Cohn
9785508066819,Taxicabs of Hong Kong,Frederic P. Miller
9785514695874,National Community Stabilization Trust,Ronald Cohn
9785513951506,Norwich Ontario,John McBrewster
9785513810834,Hershel Schachter,Ronald Cohn
978-6-1320-4980-3,Memory Model (computing),Lambert M. Surhone
978-6-1330-7767-6,Compressor (software),Mariam T. Tennoe
978-6-1317-4696-3,Anglo-Bavarian Brewery,Frederic P. Miller
978-6-1319-9455-5,Saint-Bonnet-le-Chateau,Susan F. Henssonow
978-6-1317-3286-7,Contraceptive patch,Agnes F. Vandome
